298,AnnaSophia,Robb,Actress,Bridge to Terabithia,88,9
299,Matt,Damon,Actor,The Bourne Identity,88,9
300,Robert De,Niro,Actor,Goodfellas,88,9
301,Kevin,Costner,Actor,Dances with Wolves,87,9
302,Constance,Wu,Actress,Stephanie Daley,87,9
303,Evangeline,Lilly,Actress,Real Steel,87,9
304,Kaya,Scodelario,Actress,Moon,87,9
305,Sophie,Cookson,Actress,Kingsman: The Secret Service,87,9
306,David,Oyelowo,Actor,Interstellar,87,9
307,Cameron,Monaghan,Actor,Click,87,9
308,Maggie,Grace,Actress,Taken,87,9
309,Noomi,Rapace,Actress,Prometheus,87,9
310,Jim,Carrey,Actor,Eternal Sunshine of the Spotless Mind,87,9
311,Thomas,Brodie-Sangster,Actor,The Maze Runner,87,9
312,Christian,Serratos,Actress,Twilight,87,9
313,Daniel,Radcliffe,Actor,Harry Potter and the Prisoner of Azkaban,87,9
315,Billy,Zane,Actor,Titanic,87,9
316,Harrison,Ford,Actor,Star Wars,87,9
317,Cobie,Smulders,Actress,The Avengers,87,9
318,Olivia,Munn,Actress,Magic Mike,87,9
319,Arielle,Kebbel,Actress,The Uninvited,87,9
320,Jaime,King,Actress,Pearl Harbor,87,9
321,Christina,Ricci,Actress,Sleepy Hollow,87,9
323,Andrew,Garfield,Actor,The Amazing Spider-Man,87,9
324,Bruce,Willis,Actor,The Sixth Sense,87,9
325,Willa,Holland,Actress,Legion,87,9
326,Victoria,Justice,Actress,Fun Size,87,9
327,Taryn,Manning,Actress,8 Mile,87,9
328,Gillian,Jacobs,Actress,The Box,87,9
329,Alexander,Skarsg̴rd,Actor,You'll Be the Death of Me,87,9
330,T.J.,Miller,Actor,Cloverfield,87,9
331,Eden,Sher,Actress,Veronica Mars,87,9
332,Damien,Chazelle,Writer,Whiplash,87,9
333,Russell,Crowe,Actor,Gladiator,87,9
334,Melissa,McCarthy,Actress,The Heat,87,9
335,Timothy,Olyphant,Actor,Live Free or Die Hard,87,9
336,Anson,Mount,Actor,In Her Shoes,87,9
337,Alan,Rickman,Actor,Harry Potter and the Deathly Hallows: Part 2,87,9
338,Salma,Hayek,Producer,Frida,87,9
339,Katie,Findlay,Actress,Premature,87,9
340,Liam,Hemsworth,Actor,The Hunger Games: Catching Fire,87,9
341,Zachary,Quinto,Actor,Star Trek,87,9
342,Britt,Robertson,Actress,The First Time,87,9
343,Ryan,Reynolds,Actor,Green Lantern,87,9
344,Leighton,Meester,Actress,That's My Boy,87,9
345,Al,Pacino,Actor,The Godfather,87,9
346,Jessica,Kiper,Actress,Sex and Death 101,87,9
348,Caity,Lotz,Actress,The Pact,87,9
349,Nicola,Peltz,Actress,Transformers: Age of Extinction,87,9
350,Jessalyn,Gilsig,Actress,Quest for Camelot,87,9
351,Vanessa,Hudgens,Actress,High School Musical,87,9
352,Kirk,Cameron,Actor,Fireproof,87,9
353,Diane,Lane,Actress,Man of Steel,87,9
354,Dave,Bautista,Actor,Guardians of the Galaxy,87,9
356,Gwyneth,Paltrow,Actress,Iron Man 3,87,9
357,Jenna Dewan,Tatum,Actress,Step Up,87,9
358,Rachel,Melvin,Actress,Dumb and Dumber To,87,9
359,Claire,Danes,Actress,Temple Grandin,87,9
360,Joaquin,Phoenix,Actor,Gladiator,87,9
361,Sharlto,Copley,Actor,District 9,87,9
362,Ross,Marquand,Actor,Down and Dangerous,87,9
363,Steven,Spielberg,Producer,Saving Private Ryan,87,9
364,Donal,Logue,Actor,Blade,87,9
365,Jim,Parsons,Actor,Garden State,87,9
366,Stana,Katic,Actress,Quantum of Solace,87,9
367,Lacey,Chabert,Actress,Mean Girls,87,9
368,Bailee,Madison,Actress,Just Go with It,87,9
369,Peter,Dinklage,Actor,X-Men: Days of Future Past,87,9
371,Kelly,Hu,Actress,X2,87,9
